question_id	question_text
3402	Why is it important to study the history of Prehistoric North Africa?
4177	What are general characteristics of a state school?
2844	What are some impacts of greenhouse gas?
463	What ethnic groups can be found on the Island?
2811	How did the Seven Years War unfold in South America?
4036	What is Cambodia's topography like?
907	What legally constitutes as a municipal corporation?
3044	What is the purpose of tickets in public transportation?
3066	Why are some parts of Mexico and the United States humid subtropical climates?
312	How did Kennedy aim to stop the spread of Communism in Latin America?
3075	What is the overall status of BBC's online presence?
3230	what prompted india to pull out of the 2012 round of PISA testing?
2126	What role does oil play in the economy of the UAE?
3779	Discuss some of the disparities in higher-education fields in terms of pay and employment opportunities.
2594	How does a practitioner of Baha'i integrate local laws with the laws of the Baha'i faith?
1541	Why was there difficulty in defining what bilingualism is?
1083	What factors led to the decline of the Second Bulgarian Empire?
2414	What defines Dublin ?
853	How was The Wall Street Journal originally created?
1260	What is the origin of the word subcontinent?
1758	Then What Are The Main Focuses Of Economics?
37	What difficulties in use exist in discussing height above mean sea level?
1901	What is the function of the  United Nations Development Programme in regards to Crisis prevention and recovery?
826	Why were the Lincoln-Douglas debates the most famous political debates in American history?
605	What led to the decline of the passenger rail?
4156	How else do we get a better look at country's developed or undeveloped status?
3043	How do bus services operate?
2942	Why was Estonia's closer ties with Nordic countries an important element in Estonia's post-independence reorientation?
92	What makes the Bay of Fundy a fossil treasure trove?
3358	Why is the orange breasted sun bird endemic?
1512	What is the history of universities since 1800?
3847	How do indigenous members of Hinduism consider their religion?
3728	What is the history of the Pew Research Center?
1663	Why is the role of Asian companies so important in the G20?
2812	Why is zinc and essential mineral?
2535	What is London's finance industry like?
15	How did vietnam's unification into the world economy come to be?
3595	What did the Baltic sea provide in the Middle Ages?
1371	What were the early Greek antecedents of musical theater?
1822	How are allowed deductions classified for tax purposes?
2587	What did Napoleon expect would occur by cutting Britain off from the Europeian mainland, and why or why was he not correct and successful?
2712	How did Confucianism develop?
4091	How did trends in German history develop?
1629	What was the importance of Philadelphia in the revolutionary war?
480	Why did Thomas Young refer to the languages as Indi-European?
2975	How does the EPA monitor air quality?
2613	What developments occurred as a result of failed military campaigns during the Angelid Dynasty?
3621	Which characteristics define the climate in Athens?
2061	Why was the United States Army not a strong as it once was during the Vietnam War?
1926	What is the influence of the French language in Haiti?
896	How did the Great Baltimore Fire affect the city?
3019	What effect has the city's border with Canada had on transportation?
756	What define candidate lists and voters vote for a list?
4129	How were the experiences of indigenous peoples in Europe different from those in other parts of the world?
219	What attitude did British politics toward the American revolution?
2350	Why did people construct artificial dwelling hills?
2294	How has Dallas-Fort Worth metroplex real estate been faring?
744	How did Nixon carry out his resignation?
2772	What does the study of religion encompass?
1980	In what ways did craft guilds, and crafts in general, contribute to the character of Glasgow?
270	What are the characteristics of Russian grammar?
1586	How did the Artic people first get to Greenland?
1422	What were the Healthcare plans of Obama and McCain during 2008?
3427	Why was there a reduction in force of the British Army during the postcolonial era?
3797	Why can renewable energy products also be realized on a small scale?
950	How did the fall in stock market values mirror the Great Depression?
3597	How is Jakarta governed?
1544	What changes appear in the fossil record 50,000 years ago?
3916	How is Cantonese distributed throughout Hong Kong and Macau?
439	What problems are caused by resource extraction?
38	How is the changing relationship between sea level and dry land described?
3694	What was the effect of the First World War on Paris?
1862	Why do host countries allow FDI?
2777	What is the process by which Maize receives it's color?
1412	What happened when the Germanic people collided with Romans?
3579	What competitive pressures is the automobile industry facing?
2788	In what ways did the development of the Luxumburg railroad promote trade and the economy?
2473	Why are the traditional colors of Christmas red, green
3321	How were internationals affected by the 1973 oil crisis?
1941	How are the state department's expenditures audited?
3338	How did the term Atheism originate?
2396	How is the host country chosen for the World Cup?
2909	How do civil rights movements operate?
1213	How is Frankfurt a multicultural city?
2116	How did September 11 lead to further military intervention on the part of George W. Bush?
2582	How was Slovenia effected under Nazi Germany?
3514	What were the main features of Athenian direct democracy?
1227	How was the EEC enlarged in the 1960s and 70s?
2740	How did the postclassical period contribute to the emergence and spreading of Medieval Latin?
87	What influence has Jushe ideology had on North Korea's political system?
4182	What is Haiti?
1195	What is the role of Jesus in Islam?
1533	What phenomenon of diglossia exists in spoken Arabic?
2719	How is dirigisme similar or different from a mixed economy?
1279	"What defines the ""Final Solution to the Jewish Question""?"
2050	How would you define the United States Air Force relative to the US Army?
871	Why does the LDS church differ from Christianity?
886	Why are the drug cartels a major concern in Mexico?
1506	What kind of pressure did Germany put on the Ottoman Empire for their participation in World War I?
2843	How do clouds contribute to the greenhouse effect?
3646	Why does manufacturing need to be increased in the US?
891	How does the climate affect Sri Lanka's flora and fauna?
1233	How did Sunnis deal with the debate over how to deal issues that were originally in the Quran?
753	Explain the Anglican practice of Faith.
3753	What are the politics of Qatar?
3752	What occurred in Qatar during the antiquity period?
2534	What kind of accent is a London accent?
555	Why did Stockholm regain its economic role in the second half of the 19th century?
2053	During major military engagement campaigns, could you tell us how  the U.S. Air Force deployments carry-out & executive assigned combat missions & can you specially highlight the significance of the different USAF assets during large sale field interventions?
1241	How did Darwin's career transform into that of a geologist and naturalist?
505	What characterized Shakespeare's final period?
2499	Was David Cameron's reign marked by power or opposition?
1855	How was Greece involved in slave trading?
2768	Why does Virginia have one of the highest concentration of veterans?
3193	How are the rates determined for the euro?
2722	What is Socialism?
1808	How did the British establish a trading system in the midst of Indian territory?
3255	What is a government?
627	How does viral load affect risk?
803	How was the NBA created out of the BAA?
1984	How does common law develop?
2280	Why and how did some major events which have occurred during this century in Manattan change lives?
4122	How has a libertarian philosophy influenced the laws of Nevada?
2596	What did the anti-Jewish efforts of the Nazi regime culminate in?
1450	Why was Iraq removed from the State Sponsors of Terrorism list before the Gulf War?
2995	How did Queen Victoria's marriage to Albert define her reign?
2070	What occurred as the end result of professionalization for philosophy?
2457	What has been the major role of the Great Lakes in North American ecology?
1102	What is the importance of the head of government as a dominant head of state?
2889	What effect does latitude have on biodiversity?
464	How did Copenhagen become established?
1242	How did Darwin contribute to the understanding of sexual selection?
2697	"What is the etymology of ""capitalism""?"
2067	How did the welfare state develop in Germany?
2693	What historical significance of the 4000-year-old tomb at Forteviot?
97	What was the British response to being forced out of Boston?
870	What role has progression served in the LDS church?
559	What happened in Albania during World War II?
4114	Why is Japan so densely populated?
4140	What examples of lingua franca exist?
3410	How was the Congress of Vienna structured?
850	What impact did Spanish explorers have on Texas's original inhabitants?
1393	How did geography influence Gothic style?
26	What are the demographic trends in Manchester during the 21st century?
1382	Why did the United States Navy have little involvement during World War I?
1086	How are seven chords used in blues music?
1008	Why is Milan an alpha leading global city?
880	Why is the sun more powerful now than it was 2.4 billion years ago?
4001	define Hydroelectricity?
752	Do Anglican values converge into today's practice?
800	Why can selecting a national language be contentious?
2624	Why has McDonalds faced complaints from OSHA recently for its treatment of employees?
3512	How does liberal democracy compare with the general term democracy?
3128	How was the scrum limited by a new rule?
3501	Why is Warsaw ranked one of the most livable cities?
841	How did Thomas J. Watson Sr. respond to having been fired from the National Cash Register Company by John Henry Patterson?
3281	In what ways did Aristotle bridge a divide between natural sciences and philosophy?
45	What is Connecticut?
3674	What caused the Holiness Revival of the 1800s?
387	How can literacy be promoted?
1792	What acts caused Wales to become annexed?
2862	What is the history of Sydney as a penal colony?
3657	What is Florida's governmental infrastructure?
3980	In what ways did countries participating in WWI and WWII alter their conscription laws?
351	What characterized Queen Elizabeth's early life?
745	How did Nixon re-invent himself during the 1980s?
902	What is the definition of a federated state?
1538	What was the relation with the Ottoman Empire?
317	What occurred during the colonial period of Bolivia?
283	Why did the introduction of Europeans kill a majority of the native populations?
212	What is a Coat of Arms?
2892	What is the early history of Washington state?
126	What are canals used for today?
2402	What is the structure of Australia's members of parliament?
1442	How do the customs of chenchule' and inafa'maolek play a role in Guam society?
966	What are Plate Tectonics like in the Atlantic Ocean?
3238	What is the weather like in the country of Mongolia?
772	What are the salient aspects of human rights in Kuwait?
3065	Why is rainfall different in Sari?
382	"In what ways could nuclear warfare lead to ""mutual annihilation""? Or, do you think an advantage is possible?"
3578	"What has been done to create an open source ""people's car""?"
1905	What is the foundation of the Premier League?
1489	How did the transition to the English language occur among most German Americans?
1763	What were some of the early influences in the Bosnia and Herzegovina region, and how did they leave their mark?
3219	How did Vienna grow in the latter half of the 19th century?
3645	How does the economic role of manufacturing relate to the general economy?
2543	How does an analogue television send audio and video signals versus digital television?
2690	What are the origins of the word Judaism?
1965	What was the influence of Frederick Thomas Pilkington on gothic rchitecture?
3510	What are some conditions that may lead to one's dissatisfaction with their nationnalism?
3177	How have Welsh speakers evolved their use of language over time?
1487	How have German-Americans integrated into American society?
1273	How was the Phillippines named?
2113	How did neolithic periods spread through Europe?
668	What were some aspects of social protects against nuclear power in the 1970s?
1126	"In short How Can One synopsize the The Expression ""Freedom of speech""?"
2765	Why was lead based paints so dangerous to children?
2093	How is French spoken in Vietnam?
3192	What are the denominations for the euro notes?
2739	What effect did the Moorish conquest of Spain have on the divergence of vulgar latin languages?
3854	How did Johann Friedrich Blumenbach characterize people of European descent?
2888	How does biodiversity vary by area?
1106	What led to the establishment of the first World Heritage Site?
2034	What is the significance of Michigan's judicial system?
2679	Why is the population of Japan declining?
1158	What were the bases & motivating objectives underlining the  establishment of the Central European Economic Association at the turn of the 20th century?
3921	Why was the Hollywood hotel built?
3170	What is the environment of Italy like?
2181	How is the Holy See related to the Vatican City-State?
3588	What was George Calvert's role in 17th century Maryland?
2969	How did Kaiser Wilhelm II attempt to get the Nazis to restore the German monarchy?
3340	Why did Ludwig Feuerbach[68] and psychoanalyst Sigmund Freud believe god is a human invention?
3919	How has the local presence of Cantonese been contentious?
3310	What was the cause of the Labour Party's split during the 1930s?
2846	What does purchasing power parity refer to?
3089	What early developments characterized Evangelicalism?
469	What changes to English occurred during the transition from Old English to Middle English?
3078	What was the effect of Ivan III on Moscow?
1960	What led to the formation of a new constitution in 1917 that separated church and state in Uruguay?
3591	What role did the principle of partus sequitur ventrem have in Maryland history?
3174	How prevalent has the Welsh language been in Wales throughout history?
3823	What is the origin of the word Sweden?
1292	How did New England shape the events of the Revolutionary War?
258	Describe Brazil's climates?
599	What defined Austria during the middle ages?
1958	How did Uruguay become the only country in Latin America to receive universal coverage on safe water?
2073	What has happened in the modern era of East Asian philosophy?
227	How has Hindi spread outside India?
856	What is the The Wall Street Journal's stance on immigration?
2183	What is unique about the fact that the Black Sea has anoxic depths?
2748	What did the invasion consist of?
3112	"How do w distinguish ""Sikh"" from Sikhism?"
3491	What impression did Portuguese leave on several famous writers?
1802	What factors caused the delay of Charles Babbage's invention of the first programmable computer?
3396	"What explains the emergence of this  ""City diplomacy"" idea?"
1863	What causes FDI from a foreign country to be higher in the United States?
2726	What did the IWUSP contribute to Socialism?
1134	What is Tunisia?
3082	Why do you think Amsterdam held a different attitude about religious tolerance, when Spain had no sense of the idea?
3042	How does air travel operate?
2270	How did Otto von Bismarck rejected the British model of a constitutional monarchy?
2363	What is the learner's focus in vocational learning?
3628	What is the process for nominating a property to the registery?
2983	What is Pentecostalism?
3288	How did Forbes Magazine begin?
1430	How were the roles and rights of men and women different?
3596	How was the Baltic an arena of conflict in the 13th through 17th centuries?
1428	How has irrigation affected the politics of the region?
2724	How did the Paris Commune affect Socialism?
3369	What will eventually happen to the world's population growth?
109	What were the effects of the Second World War on Slovakia?
2606	Why is California viewed as a global trendsetter?
1229	How did the EU absorb the European Communities?
3426	How does the Church of England's Church Urban Fund try to help the community?
903	How is a federated state formed?
545	How did Picasso and cubism evolve within modern art?
3460	How did Walter Murray and Thomas Kean become the fount of Early theatre in New York?
3687	How did Burmese express their resentment of British rule?
3686	How did the Toungoo kings restore order after the Portuguese were defeated?
781	What were some security concerns for the 2012 Summer Olympics?
2008	How is the history of ancient Israel and Judah in the 10th to 7th centuries BCE as described in the Bible viewed among scholars?
3214	What do scientists believe to be the direct cause of homosexuality?
2195	How have the great powers recognized at the Congress of Vienna shifted since that time?
4089	How did German speaking people spread throughout the globe?
1953	Is there a way to define Jazz?
2674	What was Seattle's role in maritime?
465	Why is Copenhagen an important city in Denmark?
57	Why is deforestation a main concern for Ethiopia?
3070	What was the background of Columbus's quest for Asia?
662	What was the medieval understanding of sovereignty?
119	In 1714 what did the Spanish do to Naples?
703	What led to the 1983 Solidarity Crisis?
725	Why have recent historians questioned Elizabeth's legacy as queen?
695	what do women of all ages identify as?
1144	What is the etymology of Rugby League?
3807	How does retrograde solubility affect limestone?
2454	How did the New Deal affect the Republican party?
306	What is the European Commission responsible for?
1769	Why was the Great Salt Lake originally believed to be the Pacific Ocean?
3365	How does the population growth rate influence population growth?
3406	How did the decline in armed conflicts affect Africa?
1674	How did Rosa Parks and the Montgomery Bus Boycott affect the African-American Civil Rights Movement (1954-1968)?
2062	What organization did the United States Army have during the revolutionary War?
2315	What happened as a result of the First Balkan War?
375	What Liverpool in the 17th century?
2576	Why do some cultures identify polygyny as beneficial to women?
3982	How did Great Britain evolve in pre-historically?
1045	Describe the economic philosophy of the IMF.
609	How was the name Middle East created?
289	How has El Salvador's economy traditionally been structured?
2375	What was Karl Marx's attitude toward feudalism?
2721	Why are mixed economies usually supported by typically the center left and center right?
2320	What is the constitution of Victoria (Australia)?
3710	How did Baseball become a professional sport?
137	How has the bible influenced the evolution the Protestant church from the early years into the  20th century?
4042	What characterizes hybrid wheat?
2242	What is the position of commander-in-chief in Denmark?
786	What characterizes a federation?
1573	How are national parks managed?
2575	What are the 1960s progenitors of punk rock?
2604	What role does English have in Barcelona schools?
2657	How has NPR been accused of bias?
1568	Despite his early years grapple with debilitating asthma, how did Roosevelt turn himself into a rather awesome, powerful & masculin adult, leader of the NY Republican Party?
1771	What prompted a military expedition of the Mormon church?
176	What characterized the first several years of Jamaican independence?
3088	What characterizes post-conservative Evangelicalism?
572	How was Shanghai affected as a municipality of the Republic of China?
3828	"Why is the city center called the ""Pentagon""?"
1764	Why might one today consider Bosnia and Herzegovina a thriving place to live and visit?
284	What is the first evidence of the human race in South America?
376	What characterized the postwar period in Liverpool?
3260	Explain how a stochocracy works?
1628	What is the history of early European settlers in Philadelphia?
427	How did modern inventions impact railroads?
1776	How did the OECD enlarge to Central Europe?
159	What is Ancient Greece?
837	How did England and Scotland become united?
1332	What Is Neoclassical Architecture?
134	How did Protestantism emerge out of the Christian faith?
3831	Why was the CIA convinced of an imminent attack?
3380	Why did the United Arab Republic fail?
926	How were The Beatles formed?
3875	What was the attitude toward defeated nations in the treaty of Versailles?
3891	What is an Oak?
1843	How Were The  57th Quadrennial American Presidential Election Races Funded?
3755	How did the Turkic language spread across Asia?
579	How is tuberculosis managed?
3248	How Does The Council of Europe Part From The European Union As Political Regional Entity?
3294	How has the U.S. been influenced by French people?
3462	Why is Switzerland considered one of the most developed countries in the world?
4006	How does baptism fundamentally differ from other Christian denominations?
838	Would you give us an introductory synopsis of IBM as a company, its origins, headquarters, initial Businesses & current global reach?
276	What are some characteristics of a cold desert?
4148	{}
1797	Why do people voluntarily decline the prize?
4005	What is the cuisine of Azerbaijan like?
1042	How has culture influenced Tokyo?
2924	What is the origin of the phrase coup d'etat?
4051	How was Major League Baseball founded?
295	Why is Urdu considered a lingua franca in Pakistan?
3536	How are biochemical reactions and microorganisms related to minerals?
531	What coast line  does Kenya have ?
2411	How Differently Do Guerrilla Armies Execute Thier Assaults When Engaging Their Ennemies Compared To Conventional Military Campaigns?
2835	"Explain the concept of ""formula""."
434	Why did Italian replace Latin as Lingua Fresca?
918	What were the results of the Battle of Cepeda?
3297	How has inward migration influence French people and culture?
423	What is the structure of the US Congress?
1077	How was Cairo affected by the 2011 Egyptian revolution?
2572	What is the philosophy of punk rock?
554	Why is Stockholm one of the most important cities of the country?
2484	Why should Old English not be regarded as a single monolithic entity?
1691	How is evolution influenced by natural selection?
3893	Why are oak leaves commonly found on German Army Regalia?
1683	How did mechanical televisions first arise?
2876	What events comprised the Decemberist Revolt in 1825?
3240	What is the main industry of Mongolia?
1322	How is PBS structured?
1857	How did Barbary pirates operate in Algeria during the privateers era?
2609	How was the rise of California a calamity for native populations?
2653	How did merchant republics come about by wealthy merchants?
2474	Why is Christmas typically a peak selling season for retailers?
3533	Describe the climate of Madagascar?
3682	What caused the 1968-1974 NBC broadcast ban of the Golden Globe Award?
1299	What is vernacular literature of the Mandarin Chinese?
1018	How do British and American English differ?
682	What was the earliest composition considered as opera?
527	How did the Renaissance exist as a cultural movement?
1599	What are the characteristics of the medal awarded for the Prize?
249	Why has one writer recommended abolishing the Corruption Perceptions Index?
768	What was Austria like in the Middle Ages?
1011	How did Milan's figurative art flourish in the Middle Ages?
1680	How did the International Exhibition of Modern Decorative and Industrial Arts influence the rise of art deco?
1532	What is significant about case distinctions in modern spoken varieties?
3720	What is the climate of Ottawa?
520	How was Latvia's economy affected by the economic crisis of 2008-2009?
1772	What made Utah a popular filming spot in the 20th century?
4087	What sorts of early migration patterns existed in early Germany?
1129	"How did the name ""Oscar"" come to be?"
40	Is social class different than ethnicity?
3051	what does Jewish mean?
3270	How did Moscow lose its first six republics?
399	How were the properties of CO2 discovered?
3121	What effect did the spread of Slavs have across the Balkan population during the 9th and 10th century?
3598	What is the climate of Jakarta?
797	Why is pseudoarchaeology so detrimental to the field?
161	How did the mercantile class threaten Greek class structure?
2826	How much did Michael Jackson earn throughout his life?
4166	What process do new recruits have to go through after enlistment in the US Military?
548	What is the relationship between rugby and social class?
2438	What is unique about the city of Buenos Aires in regards to its district location?
1798	What factors led to mobile computers becoming dominant in today's world of technology?
4026	How is the local government of Dublin structured?
202	What happened to the AmeriIndian population of the Caribbean?
1479	Why is gentrification such a controversial and transformative forces shaping contemporary Atlanta?
1044	What caused the Lost Decade in the 1990s?
496	Who Are The Franks?
3834	What is the definition of popular music?
2654	How did NPR become established?
1251	How did the Great Depression affect New South Wales politically?
679	What are the classifying characteristics of an opera?
482	How did language contact  contribute to the aspects of the Indo-European languages?
1073	Why is data and traffic on the internet monitored?
3647	How does manufacturing produce negative effects?
2016	How is a de facto standard different from a de jure standard?
874	What was the cultural foundation of western North Carolina (apart from the native people who already lived there)?
2146	Historically how did China influence East Asia?
4183	What is the etymology of Haiti?
3132	How is the economy of sub-Saharan Africa growing?
1309	How did many Southern whites see themselves in relation to America?
2383	What was the role of Arizona during the Civil War?
410	What makes landfill gas difficult to use in a pipeline?
3892	What is the reason for Oak being the emblem of  County Londonderry in Northern Ireland?
2265	How did was modern sociology shaped by enlightenment ideas?
3786	What roles do the houses play in bicameral legislature?
3262	Why are representative democracies favored by post-industrial revolution nations?
2539	What is the president of Portugal's role?
489	Why did Ricci refer to himself as Matteo of the Far West?
1004	Why did Charles Darwin consider himself agnostic?
2087	What was the makeup of Congress like under the Articles of Confederation?
3258	How does representative democracy differ from direct democracy?
3099	What advantages do parliamentary systems have for nations that are divided?
3123	What were the causes that led to the development of Pan-Slavism?
789	How are consulates in Hong Kong unique?
1852	How is forced marriage regarded as a form of slavery?
567	What role does the head of state have in a standard parliamentary system?
3455	What is the signicance of a break point in tennis?
2648	What is the climate of Armenia?
1025	What characterized the pre-Inca era of Ecuador?
2429	What is the origin of the term mathematics?
2186	How do seasonal variations affect the Black Sea's composition?
2098	Why can Sanskrit be said to persist well into the modern age?
2486	How is Old English syntax different from that of modern English?
2011	How is the plurality voting system used in the UK?
1542	Why is there much difficulty in simply defining native language?
1546	What role did cannibalism play in Paleolithic societies?
141	What is the organization of the Holy See?
3879	How did Churchill's Royal Military Collage career progress?
868	What was Missouri's role in the establishment of the LDS church?
2387	Why is Geneva such a centrally important city in Switzerland?
3832	What was the intention of the passengers on flight 93?
3604	What is the role of oral histories and culture in the transmittance of folk music?
3308	How does the Labour Party rank among the UK nations?
1296	Detail what makes the New England economy unique from other regions in the US?
3395	What is the general understanding of this Twin towns or sister cities concept?
3130	How have the Saharan and sub-Saharan regions been separated?
2743	What was Lyon noted for historically?
1301	What is phonology of Mandarin Chinese?
3583	What were some effects of the Meiji Restoration?
3422	Why did Henry VIII want to separate the English Church from Rome?
2824	What was controversial about Michael Jackson's personal life?
2954	What are the educational averages for White Americans?
2603	How is the governed body of Barcelona controlled?
2164	What led to British exploration of the Pacific in the late 18th century?
3840	How are Polish populations spread across the world statistically?
1385	What is the origin of the name Romance languages?
32	How did the Iberian peninsula come to be named?
492	What is the origin of Anatolia?
1706	What happened to South Koreas environment and how have they tried to improve it?
1189	What role does football play in Jordanian culture?
3849	What is the concept of Dharma?
3363	Has the New York Times ever been threatened?
3785	How was Korea divided?
755	"Are Anglican ""divines"" emulators of the 12 disciples of Lord Jesus Christ?"
398	How did Baroque theater come to influence Broadway style in the 20th century?
4045	What happens in the supercoiling process?
507	What are some characteristics of the street patterns and traffic in LA?
3110	What records are identified as the first of rock and roll?
2998	What was the role of the IRA in the Irish civil war?
3683	How did Myanmar society function during the bronze age?
3090	What developments occurred in Evangelicalism in the early 18th century?
1171	Why are schools divided into different divisions by the National Collegiate Athletic Association?
1236	How did Phoenix become established as a city?
4023	"How did the Irish city become known by the name ""Dublin""?"
2805	How are ecoregions classified?
2588	What was the cause and results of the War of 1812?
3803	How does the Labour Party in the UK support Nationalization?
1276	What is the history of colonization in the Phillipines?
1934	How do mammary glands aid the young of a mammal?
2377	Worldwide, Does The Hebrew Language Distinguish The People Native Of Israel?
831	What are some of the reasons that boxing might be considered immoral and dangerous?
2658	"What was the reaction to NPR banning the use of the word ""torture"" to describe the Bush Adminstration's interrogation techniques?"
4022	How has the status of France changed on the Security Council?
1784	"How was the BBC involved in the so-called  ""September Dossier""?"
3679	What is the history of the Golden Globe Award?
3910	What is the history of the name of Puerto Rico?
1277	What defines The Holocaust?
3540	How did the symbol for the pound sterling come to be?
221	What role did king George take in the American revolution?
3918	What is the prominence of Cantonese in China?
2204	How did cultures change and shift during native habitation on the continent?
2943	"What is the origin of the colloquialism ""buck""?"
2905	What do civil and political rights include?
3640	How did intel become a large microprocessor manufacturer?
2078	On what grounds has the HDI been criticized?
958	Why was the colonial conquest of Chile a slow process?
201	Briefly give the history of the Superbowl in the 1960s and then the 70s, and then explain what major event occurred between the two.
3568	What is the historical creation of the Scottish nation?
3599	What type of museums are located in Jakarta?
2518	What was the caused the beginning of early interracial relationships in America?
385	How has the Phoenician scripture influenced the development of the Hebrew and Aramaic alphabets?
1647	How is the Parliament divided and how does it function?
3495	How do differences in Brazilian and Portuguese vocabulary highlight differences in attitudes toward immigration and assimilation?
1815	What characterized the development of open democratic debate?
2595	How were Jews targeted during the Holocaust?
3660	What were the origins of golf?
2577	Why do some groups participate in the practices of exogamy and endogamy?
3292	What is the story behind Forbes' website?
3690	What were the origins of Venice?
851	What was Texas's attitude of immigrants?
2580	What criteria must be met for a valid Islamic marriage to take place?
3555	How does inflation affect economies?
1419	What were the causes of Bush's unpopularity?
2246	How is Pakistan's military constructed?
2024	How did the Bronze Age affect different cultures in the netherlands?
1777	How did the OECD grow in the 2000s?
446	What actions by the Central powers effected Iraq during World War I?
3440	How did Cuba fall under Spanish rule for the second time?
1478	Why was Atlanta vital in the Allied effort during World War II?
3393	What happened to NigComSat-1 in November 1988?
3492	How did earlier forms of Portuguese coalesce into modern day Portuguese?
3573	What attractions can be found in present day Prague?
521	How did the roots of Czech nationalism develop?
333	What significant events happened in the 2000 Summer Olympics?
1264	What is the general definition of the Indian subcontinent?
